      1 LacZ:2007-2026_LacZ_+
      2 chr10:101544466-101544485_ABCC2_-
      2 chr10:101835817-101835836_CPN1_-
      1 chr10:102289235-102289254_NDUFB8_-
      1 chr10:103542059-103542078_NPM3_+
      2 chr10:114053565-114053584_TECTB_+
      1 chr10:114710622-114710641_TCF7L2_-
      1 chr10:116919828-116919847_ATRNL1_-
      1 chr10:118355745-118355764_PNLIPRP1_-
      1 chr10:124045689-124045708_BTBD16_-
      1 chr10:125798153-125798172_CHST15_+
      1 chr10:127350453-127350472_TEX36_-
      1 chr10:135371387-135371406_SYCE1_+
      1 chr10:13538877-13538896_BEND7_-
      1 chr10:22680667-22680686_SPAG6_-
      1 chr10:22880661-22880680_PIP4K2A_-
      1 chr10:31791401-31791420_ZEB1_+
      1 chr10:38245959-38245978_ZNF25_-
      1 chr10:5683781-5683800_ASB13_+
      1 chr10:61423994-61424013_SLC16A9_+
      1 chr10:6154197-6154216_RBM17_+
      1 chr10:696301-696320_PRR26_+
      1 chr10:70166926-70166945_RUFY2_+
      1 chr10:70405369-70405388_TET1_+
      1 chr10:75006911-75006930_DNAJC9_+
      1 chr10:75520084-75520103_SEC24C_-
      1 chr10:93668448-93668467_FGFBP3_-
      1 chr10:94669217-94669236_EXOC6_+
      1 chr10:96997768-96997787_PDLIM1_-
      2 chr11:102395720-102395739_MMP7_-
      1 chr11:10315596-10315615_SBF2_+
      1 chr11:114315356-114315375_REXO2_-
      1 chr11:117038231-117038250_PAFAH1B2_-
      1 chr11:117053306-117053325_SIDT2_-
      1 chr11:118960455-118960474_HMBS_-
      2 chr11:122646931-122646950_UBASH3B_+
      2 chr11:123777552-123777571_OR8D4_-
      1 chr11:124180009-124180028_OR8D1_+
      1 chr11:124189352-124189371_OR8D2_-
      1 chr11:125647352-125647371_PATE2_+
      1 chr11:125707858-125707877_PATE4_+
      1 chr11:126174008-126174027_DCPS_+
      1 chr11:126277174-126277193_ST3GAL4_-
      1 chr11:129814821-129814840_PRDM10_-
      1 chr11:18110904-18110923_SAAL1_+
      1 chr11:18427109-18427128_LDHA_-
      1 chr11:1856385-1856404_SYT8_-
      1 chr11:193872-193891_SCGB1C1_+
      1 chr11:1944781-1944800_TNNT3_+
      1 chr11:21135220-21135239_NELL1_+
      1 chr11:22881015-22881034_CCDC179_-
      1 chr11:33721857-33721876_C11orf91_+
      1 chr11:45924935-45924954_MAPK8IP1_+
      1 chr11:47282044-47282063_NR1H3_-
      2 chr11:49974369-49974388_OR4C13_-
      1 chr11:49974547-49974566_OR4C13_-
      1 chr11:55321980-55321999_OR4C15_-
      1 chr11:55322144-55322163_OR4C15_-
